,ID,D_Batch,D_gas,D_Glp,D_Reg_variable,D_capex_perfo,I_GLP,I_API_GLP_M,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,Total_VPN,volumen_Mbls,Capex,opex
449,449.0,0.0,1.0,0.0,2.0,2.0,5000.0,2.0,0.7,1.0,-283.2387900350857,69.6172104374998,557.1319806966371,1379.5260135813996
450,450.0,0.0,1.0,0.0,2.0,3.0,6000.0,2.5,0.8,0.9,-245.19960662238887,69.6172104374998,520.034092224728,1355.8093856024414
451,451.0,0.0,1.0,0.0,2.0,3.0,7000.0,3.5,0.9,0.95,-279.69701813010477,69.6172104374998,560.1646037528191,1367.6676995919204
452,452.0,0.0,1.0,0.0,2.0,3.0,7000.0,2.0,0.9,0.95,-279.69701813010477,69.6172104374998,560.1646037528191,1367.6676995919204
453,453.0,0.0,1.0,0.0,2.0,3.0,6000.0,2.0,0.7,0.95,-220.51209362933565,69.6172104374998,479.9035806966371,1367.6676995919204
454,454.0,0.0,1.0,0.0,2.0,3.0,8000.0,2.0,0.9,0.95,-279.69701813010477,69.6172104374998,560.1646037528191,1367.6676995919204
455,455.0,0.0,1.0,0.0,2.0,3.0,7000.0,3.0,0.7,0.9,-215.60714437200434,69.6172104374998,479.9035806966371,1355.8093856024414
456,456.0,0.0,1.0,0.0,2.0,3.0,7000.0,3.5,0.8,0.9,-245.19960662238887,69.6172104374998,520.034092224728,1355.8093856024414
457,457.0,0.0,1.0,0.0,2.0,3.0,5000.0,3.5,0.9,0.95,-279.69701813010477,69.6172104374998,560.1646037528191,1367.6676995919204
458,458.0,0.0,1.0,0.0,2.0,3.0,7000.0,3.5,0.9,1.0,-284.60196738743605,69.6172104374998,560.1646037528191,1379.5260135813996
459,459.0,0.0,1.0,0.0,2.0,3.0,8000.0,2.0,0.8,1.0,-255.0095051370514,69.6172104374998,520.034092224728,1379.5260135813996
460,460.0,0.0,1.0,0.0,2.0,3.0,5000.0,3.0,0.8,0.95,-250.1045558797202,69.6172104374998,520.034092224728,1367.6676995919204
461,461.0,0.0,1.0,0.0,2.0,3.0,5000.0,2.0,0.8,0.9,-245.19960662238887,69.6172104374998,520.034092224728,1355.8093856024414
462,462.0,0.0,1.0,0.0,2.0,3.0,7000.0,3.5,1.0,0.9,-304.38453112315807,69.6172104374998,600.2951152809101,1355.8093856024414
463,463.0,0.0,1.0,0.0,2.0,3.0,7000.0,2.5,0.7,1.0,-225.41704288666688,69.6172104374998,479.9035806966371,1379.5260135813996
464,464.0,0.0,1.0,0.0,2.0,3.0,7000.0,4.0,0.8,0.9,-245.19960662238887,69.6172104374998,520.034092224728,1355.8093856024414
465,465.0,0.0,1.0,0.0,2.0,3.0,6000.0,2.0,0.7,1.0,-225.41704288666688,69.6172104374998,479.9035806966371,1379.5260135813996
466,466.0,0.0,1.0,0.0,2.0,3.0,5000.0,4.0,1.0,0.9,-304.38453112315807,69.6172104374998,600.2951152809101,1355.8093856024414
467,467.0,0.0,1.0,0.0,2.0,3.0,5000.0,3.0,0.9,0.95,-279.69701813010477,69.6172104374998,560.1646037528191,1367.6676995919204
468,468.0,0.0,1.0,0.0,2.0,3.0,7000.0,2.5,0.7,1.0,-225.41704288666688,69.6172104374998,479.9035806966371,1379.5260135813996
469,469.0,0.0,1.0,0.0,2.0,3.0,8000.0,3.5,0.8,0.9,-245.19960662238887,69.6172104374998,520.034092224728,1355.8093856024414
470,470.0,0.0,1.0,0.0,2.0,3.0,5000.0,4.0,0.7,0.9,-215.60714437200434,69.6172104374998,479.9035806966371,1355.8093856024414
471,471.0,0.0,1.0,0.0,2.0,3.0,7000.0,2.5,0.8,0.95,-250.1045558797202,69.6172104374998,520.034092224728,1367.6676995919204
472,472.0,0.0,1.0,0.0,2.0,3.0,5000.0,3.0,0.7,0.9,-215.60714437200434,69.6172104374998,479.9035806966371,1355.8093856024414
473,473.0,0.0,1.0,0.0,2.0,3.0,5000.0,4.0,1.0,1.0,-314.1944296378205,69.6172104374998,600.2951152809101,1379.5260135813996
474,474.0,0.0,1.0,0.0,2.0,3.0,7000.0,2.5,0.9,0.9,-274.7920688727735,69.6172104374998,560.1646037528191,1355.8093856024414
475,475.0,0.0,1.0,0.0,2.0,3.0,7000.0,3.0,1.0,0.9,-304.38453112315807,69.6172104374998,600.2951152809101,1355.8093856024414
476,476.0,0.0,1.0,0.0,2.0,3.0,6000.0,3.5,0.7,1.0,-225.41704288666688,69.6172104374998,479.9035806966371,1379.5260135813996
477,477.0,0.0,1.0,0.0,2.0,3.0,6000.0,3.5,0.7,1.0,-225.41704288666688,69.6172104374998,479.9035806966371,1379.5260135813996
478,478.0,0.0,1.0,0.0,2.0,3.0,8000.0,2.0,0.9,0.9,-274.7920688727735,69.6172104374998,560.1646037528191,1355.8093856024414
479,479.0,0.0,1.0,0.0,2.0,3.0,6000.0,2.5,0.8,1.0,-255.0095051370514,69.6172104374998,520.034092224728,1379.5260135813996
480,480.0,0.0,1.0,0.0,2.0,3.0,5000.0,3.0,0.9,1.0,-284.60196738743605,69.6172104374998,560.1646037528191,1379.5260135813996
481,481.0,0.0,1.0,0.0,2.0,3.0,6000.0,3.5,0.8,1.0,-255.0095051370514,69.6172104374998,520.034092224728,1379.5260135813996
482,482.0,0.0,1.0,0.0,2.0,3.0,6000.0,2.0,0.8,1.0,-255.0095051370514,69.6172104374998,520.034092224728,1379.5260135813996
483,483.0,0.0,1.0,0.0,2.0,3.0,6000.0,2.0,0.8,0.9,-245.19960662238887,69.6172104374998,520.034092224728,1355.8093856024414
484,484.0,0.0,1.0,0.0,2.0,3.0,6000.0,3.5,1.0,1.0,-314.1944296378205,69.6172104374998,600.2951152809101,1379.5260135813996
485,485.0,0.0,1.0,0.0,2.0,3.0,6000.0,2.0,0.8,1.0,-255.0095051370514,69.6172104374998,520.034092224728,1379.5260135813996
486,486.0,0.0,1.0,0.0,2.0,3.0,7000.0,3.0,1.0,0.9,-304.38453112315807,69.6172104374998,600.2951152809101,1355.8093856024414
487,487.0,0.0,1.0,0.0,2.0,3.0,8000.0,2.0,0.7,0.9,-215.60714437200434,69.6172104374998,479.9035806966371,1355.8093856024414
488,488.0,0.0,1.0,0.0,2.0,3.0,7000.0,2.5,0.9,0.9,-274.7920688727735,69.6172104374998,560.1646037528191,1355.8093856024414
489,489.0,0.0,1.0,0.0,2.0,3.0,7000.0,3.5,0.8,0.95,-250.1045558797202,69.6172104374998,520.034092224728,1367.6676995919204
490,490.0,0.0,1.0,0.0,2.0,3.0,6000.0,3.5,0.7,0.95,-220.51209362933565,69.6172104374998,479.9035806966371,1367.6676995919204
491,491.0,0.0,1.0,0.0,2.0,3.0,8000.0,2.0,1.0,1.0,-314.1944296378205,69.6172104374998,600.2951152809101,1379.5260135813996
492,492.0,0.0,1.0,0.0,2.0,3.0,6000.0,2.0,0.7,0.95,-220.51209362933565,69.6172104374998,479.9035806966371,1367.6676995919204
493,493.0,0.0,1.0,0.0,2.0,3.0,8000.0,3.0,0.9,0.95,-279.69701813010477,69.6172104374998,560.1646037528191,1367.6676995919204
494,494.0,0.0,1.0,0.0,2.0,3.0,6000.0,4.0,0.9,1.0,-284.60196738743605,69.6172104374998,560.1646037528191,1379.5260135813996
495,495.0,0.0,1.0,0.0,2.0,3.0,8000.0,2.5,0.8,0.95,-250.1045558797202,69.6172104374998,520.034092224728,1367.6676995919204
496,496.0,0.0,1.0,0.0,2.0,3.0,6000.0,3.0,0.8,0.9,-245.19960662238887,69.6172104374998,520.034092224728,1355.8093856024414
497,497.0,0.0,1.0,0.0,2.0,3.0,7000.0,2.5,0.7,0.9,-215.60714437200434,69.6172104374998,479.9035806966371,1355.8093856024414
498,498.0,0.0,1.0,0.0,2.0,3.0,6000.0,4.0,0.7,0.95,-220.51209362933565,69.6172104374998,479.9035806966371,1367.6676995919204
499,499.0,0.0,1.0,0.0,2.0,3.0,7000.0,4.0,0.9,0.9,-274.7920688727735,69.6172104374998,560.1646037528191,1355.8093856024414
500,500.0,0.0,1.0,0.0,2.0,3.0,8000.0,3.0,0.8,1.0,-255.0095051370514,69.6172104374998,520.034092224728,1379.5260135813996
501,501.0,0.0,1.0,0.0,2.0,3.0,6000.0,3.5,1.0,0.95,-309.2894803804893,69.6172104374998,600.2951152809101,1367.6676995919204
502,502.0,0.0,1.0,0.0,2.0,3.0,7000.0,2.5,0.8,0.9,-245.19960662238887,69.6172104374998,520.034092224728,1355.8093856024414
503,503.0,0.0,1.0,0.0,2.0,3.0,7000.0,2.0,1.0,0.9,-304.38453112315807,69.6172104374998,600.2951152809101,1355.8093856024414
504,504.0,0.0,1.0,0.0,2.0,3.0,5000.0,2.0,0.7,0.9,-215.60714437200434,69.6172104374998,479.9035806966371,1355.8093856024414
505,505.0,0.0,1.0,0.0,2.0,3.0,5000.0,3.5,1.0,0.9,-304.38453112315807,69.6172104374998,600.2951152809101,1355.8093856024414
506,506.0,0.0,1.0,0.0,2.0,3.0,6000.0,4.0,1.0,0.95,-309.2894803804893,69.6172104374998,600.2951152809101,1367.6676995919204
